human_channel,freq,phys,sub,station
36.1, 8vsb, 36, 1, KWSD-TV
14.1, 8vsb, 32, 3, Dabl
14.2, 8vsb, 32, 4, Charge!
14.3, 8vsb, 32, 5, Comet
14.4, 8vsb, 32, 6, Stadium
46.1, 8vsb, 21, 3, KDLT-TV
46.2, 8vsb, 21, 4, FOX
46.3, 8vsb, 21, 5, Antenna
46.4, 8vsb, 21, 6, Cozi
46.5, 8vsb, 21, 7, Court
11.1, 8vsb, 11, 3, KELO
11.2, 8vsb, 11, 4, UTV
11.3, 8vsb, 11, 5, ION
11.4, 8vsb, 11, 6, Escape
7.1, 8vsb, 7, 3, KTTW-HD
7.2, 8vsb, 7, 4, ThisTV
7.3, 8vsb, 7, 5, SBN
7.4, 8vsb, 7, 6, LAFF
7.5, 8vsb, 7, 7, Bounce
7.6, 8vsb, 7, 8, Grit
7.7, 8vsb, 7, 9, DEFY
7.8, 8vsb, 7, 10, TrReal
7.9, 8vsb, 7, 11, NEWSY
7.10, 8vsb, 7, 12, Quest
7.11, 8vsb, 7, 13, Twist
